형태소,품사,분류,카운트
15년,Number,5,1
15분,Number,2,1
15분,Number,4,1
15분,Number,5,4
15일,Number,1,1
16,Number,5,2
16만원,Number,1,1
16일,Number,5,1
17,Number,4,1
"17,000원",Number,3,1
170만원,Number,1,1
17500원,Number,1,1
17만원,Number,1,3
18,Number,4,1
18,Number,5,1
"18,000",Number,3,1
18시,Number,1,1
19,Number,4,2
19,Number,5,6
19.05,Number,3,1
1985년,Number,4,1
1994년,Number,4,1
19시,Number,5,1
19일,Number,5,1
1년,Number,3,1
1년,Number,4,3
1년,Number,5,7
1등,Number,5,2
1만원,Number,3,1
1만원,Number,4,2
1분,Number,2,1
1분,Number,4,1
1분,Number,5,2
1시,Number,4,2
1시,Number,5,1
1시간,Number,5,3
1월,Number,4,1
1월,Number,5,5
1일,Number,5,8
1회,Number,3,2
1회,Number,5,9
2,Number,1,23
2,Number,2,9
2,Number,3,32
2,Number,4,48
2,Number,5,117
2.4,Number,5,1
2/6,Number,4,1
20,Number,1,1
20,Number,2,1
20,Number,4,1
20,Number,5,4
200,Number,4,1
200,Number,5,1
200%,Number,5,2
2011년,Number,4,1
2015년,Number,3,1
2018,Number,5,1
2019,Number,5,1
2019년,Number,5,1
2020.6,Number,5,1
2020.8,Number,5,1
2020년,Number,1,1
205,Number,1,1
20~30분,Number,2,1
20~30분,Number,4,1
20~30분,Number,5,1
20년,Number,4,1
20만원,Number,2,1
20분,Number,1,4
20분,Number,3,1
20분,Number,4,2
20분,Number,5,4
20일,Number,4,1
210,Number,5,1
21일,Number,5,1
22,Number,5,2
"22,000원",Number,5,1
23,Number,5,1
24,Number,5,1
24시,Number,5,2
24시간,Number,2,1
24시간,Number,5,2
24일,Number,1,1
24일,Number,5,1
25,Number,2,1
25,Number,4,1
250,Number,3,1
2553,Number,2,1
25일,Number,5,2
26,Number,1,1
26,Number,5,1
26일,Number,1,2
26일,Number,5,1
27,Number,1,1
27000,Number,3,1
28,Number,1,1
28,Number,5,1
286000원,Number,1,1
28일,Number,5,1
29,Number,5,1
2~3,Number,3,1
2~3,Number,5,1
2~300원,Number,4,1
2년,Number,2,1
2년,Number,3,1
2년,Number,4,1
2년,Number,5,1
2만원,Number,1,1
2만원,Number,5,2
2분,Number,1,1
2시,Number,4,1
2시,Number,5,2
2시간,Number,5,1
2월,Number,3,2
2월,Number,4,1
2월,Number,5,1
2일,Number,1,1
2일,Number,3,1
2일,Number,4,3
2일,Number,5,10
2조,Number,5,1
2회,Number,1,1
3,Number,1,12
3,Number,2,9
3,Number,3,16
3,Number,4,20
3,Number,5,72
3-5,Number,5,1
30,Number,3,1
30,Number,4,1
30,Number,5,4
30-7,Number,5,1
300,Number,4,1
30~40일,Number,5,1
30년,Number,4,2
30년,Number,5,1
30만원,Number,2,1
30분,Number,1,3
30분,Number,2,4
30분,Number,3,1
30분,Number,4,3
30분,Number,5,8
30일,Number,5,1
31만원,Number,1,1
31일,Number,3,1
31일,Number,5,1
33,Number,5,1
"33,000원",Number,5,1
3500원,Number,3,1
35분,Number,5,1
36,Number,5,1
38,Number,5,1
39,Number,5,1
3~4분,Number,5,1
3년,Number,4,1
3만,Number,3,1
3만원,Number,1,1
3만원,Number,4,1
3분,Number,4,2
3분,Number,5,1
3시,Number,1,1
3시,Number,2,1
3시,Number,3,1
3시,Number,4,1
3시,Number,5,2
3시간,Number,3,1
3시간,Number,4,1
3시간,Number,5,2
3월,Number,5,6
3일,Number,1,1
3일,Number,3,1
3일,Number,4,7
3일,Number,5,27
4,Number,1,11
4,Number,2,4
4,Number,3,8
4,Number,4,20
4,Number,5,37
4-5,Number,4,1
4-5년,Number,3,1
40,Number,4,1
40분,Number,1,2
40분,Number,3,1
40분,Number,4,1
40분,Number,5,2
410,Number,5,1
"45,000원",Number,1,1
45000원,Number,5,1
48,Number,5,1
4~5,Number,5,1
4~5천원,Number,5,1
4년,Number,5,3
4만원,Number,4,1
4만원,Number,5,1
4시,Number,1,1
4시,Number,2,1
4시,Number,3,1
4월,Number,1,1
4월,Number,4,1
4월,Number,5,2
4일,Number,4,3
4일,Number,5,17
5,Number,1,16
5,Number,2,15
5,Number,3,9
5,Number,4,11
5,Number,5,47
5-10분,Number,3,1
5-10분,Number,5,2
50,Number,3,1
50,Number,4,1
50,Number,5,2
500,Number,5,1
5000원,Number,2,1
5000원,Number,4,1
50분,Number,5,1
"55,000",Number,4,1
5~10만원,Number,1,1
5~10분,Number,5,1
5~6만원,Number,4,1
5년,Number,5,1
5만원,Number,1,2
5분,Number,1,1
5분,Number,3,2
5분,Number,4,3
5분,Number,5,9
5시,Number,1,4
5시,Number,4,1
5시,Number,5,1
5월,Number,4,2
5월,Number,5,5
5일,Number,3,1
5일,Number,4,2
5일,Number,5,7
5천원,Number,1,1
6,Number,1,3
6,Number,3,2
6,Number,4,3
6,Number,5,11
"6,000원",Number,3,1
6/7,Number,5,1
60,Number,4,1
60,Number,5,1
60%,Number,4,1
600,Number,4,1
600,Number,5,1
60만원,Number,2,1
612,Number,4,1
66만원,Number,5,1
6~7,Number,5,1
6만,Number,4,1
6시,Number,4,1
6시,Number,5,1
6월,Number,4,4
6월,Number,5,6
6일,Number,5,5
7,Number,3,2
7,Number,4,4
7,Number,5,11
"76,500원",Number,2,1
7만원,Number,1,1
7만원,Number,4,1
7분,Number,5,1
7시,Number,1,3
7시,Number,3,1
7시,Number,4,1
7시,Number,5,6
7월,Number,4,3
7월,Number,5,4
8,Number,3,1
8,Number,4,4
8,Number,5,6
8.5,Number,4,1
8/8,Number,3,2
8/9,Number,3,2
8분,Number,3,1
8분,Number,4,1
8시,Number,1,1
8시,Number,4,2
8시,Number,5,2
8월,Number,1,2
8월,Number,3,1
8월,Number,4,1
8월,Number,5,8
8일,Number,1,1
9,Number,4,3
9,Number,5,5
9/2,Number,3,1
90,Number,5,1
90%,Number,5,1
9000원,Number,5,1
90만원,Number,2,1
90일,Number,5,1
9900원,Number,5,1
9분,Number,5,1
9시,Number,1,2
9시,Number,2,1
9시,Number,4,6
9시,Number,5,5
9월,Number,3,1
9월,Number,4,3
9월,Number,5,8
9일,Number,5,1
9천원,Number,5,1
:,Punctuation,1,3
:,Punctuation,2,13
:,Punctuation,3,15
:,Punctuation,4,14
:,Punctuation,5,22
:),Punctuation,3,1
:),Punctuation,4,3
:),Punctuation,5,19
:)),Punctuation,5,1
:-),Punctuation,4,2
:::,Punctuation,4,1
:>,Punctuation,5,1
;,Punctuation,4,1
;),Punctuation,5,1
;;,Punctuation,1,4
;;,Punctuation,3,1
;;,Punctuation,4,1
;;),Punctuation,5,1
;;;,Punctuation,4,1
;;;;;;;;,Punctuation,4,1
<,Punctuation,5,4
=,Punctuation,5,2
>,Punctuation,5,4
><,Punctuation,5,1
>_<,Punctuation,5,1
?,Punctuation,1,39
?,Punctuation,2,12
?,Punctuation,3,4
?,Punctuation,4,17
?,Punctuation,5,41
?!,Punctuation,4,1
"?""",Punctuation,5,2
?),Punctuation,5,1
?...,Punctuation,2,1
??,Punctuation,1,2
??,Punctuation,3,1
??,Punctuation,4,2
??,Punctuation,5,15
???,Punctuation,1,1
???,Punctuation,5,1
????,Punctuation,5,4
??????,Punctuation,1,1
????????,Punctuation,5,1
?^^),Punctuation,4,1
AYS,Alpha,5,1
Ace,Alpha,5,1
Adam,Alpha,5,1
Aguila,Alpha,3,1
Alice,Alpha,5,1
Allen,Alpha,5,2
Alvin,Alpha,5,3
Anna,Alpha,5,1
Aveda,Alpha,5,1
BBQ,Alpha,4,1
BBQ,Alpha,5,1
BON,Alpha,5,1
Beach,Alpha,4,1
Bedding,Alpha,5,1
CCTV,Alpha,1,1
CU,Alpha,3,1
Chason,Alpha,4,1
Check,Alpha,5,1
D,Alpha,5,1
DINING,Alpha,5,2
DJ,Alpha,1,1
DJ,Alpha,4,1
DT,Alpha,5,1
Diana,Alpha,5,1
Diane,Alpha,5,1
Eunice,Alpha,5,1
Executive,Alpha,1,2
FD,Alpha,4,1
Fi,Alpha,5,1
GS,Alpha,4,1
Good,Alpha,4,1
Hailey,Alpha,5,1
Hannah,Alpha,5,1
Hey,Alpha,2,1
High,Alpha,5,1
Hyeopjae,Alpha,4,1
In,Alpha,5,1
It,Alpha,5,1
J,Alpha,5,1
Jane,Alpha,5,1
Jennifer,Alpha,5,1
Kal,Alpha,5,1
Kim,Alpha,5,1
L,Alpha,4,1
LA,Alpha,4,1
LA,Alpha,5,1
LED,Alpha,5,1
LK,Alpha,4,1
MJ,Alpha,5,2
Mt,Alpha,4,1
Nam,Alpha,5,1
Nancy,Alpha,5,1
OK,Alpha,5,1
ON,Alpha,5,2
Oh,Alpha,5,1
Olle,Alpha,5,2
PIC,Alpha,5,1
Pool,Alpha,4,2
RACHEL,Alpha,5,1
Roy,Alpha,5,2
SKY,Alpha,5,2
SNS,Alpha,5,3
SUV,Alpha,3,1
SUV,Alpha,5,1
Sea,Alpha,5,1
Seogwipo,Alpha,2,1
Skypool,Alpha,5,1
Sophia,Alpha,5,1
Staff,Alpha,5,1
Suite,Alpha,1,4
T,Alpha,5,2
THANN,Alpha,5,3
TMI,Alpha,5,1
TOPS,Alpha,5,1
TV,Alpha,1,1
TV,Alpha,3,2
TV,Alpha,5,5
Tea,Alpha,4,1
Tommy,Alpha,5,1
UP,Alpha,5,1
USB,Alpha,4,1
VIP,Alpha,5,1
VOY,Alpha,5,1
WE,Alpha,5,1
We,Alpha,4,1
We,Alpha,5,1
Wi,Alpha,5,1
XX,Alpha,1,1
\,Punctuation,5,1
^,Punctuation,5,2
^-^,Punctuation,5,5
^^,Punctuation,1,2
^^,Punctuation,3,1
^^,Punctuation,4,17
^^,Punctuation,5,189
^^!,Punctuation,5,1
^^),Punctuation,3,1
^^),Punctuation,4,1
^^),Punctuation,5,2
"^^),",Punctuation,5,2
^^*,Punctuation,4,1
^^**,Punctuation,5,1
^^/,Punctuation,5,1
^^;,Punctuation,3,1
^^;,Punctuation,5,1
^^;;,Punctuation,5,1
^_^,Punctuation,5,1
_,Punctuation,5,2
adult,Alpha,4,1
amenities,Alpha,5,1
another,Alpha,5,1
bar,Alpha,4,2
bb,Alpha,5,1
bedding,Alpha,5,1
bhq,Alpha,5,1
big,Alpha,5,1
c,Alpha,4,1
cafe,Alpha,5,1
charge,Alpha,5,1
cindy,Alpha,1,1
cj,Alpha,5,1
comfortable,Alpha,5,1
cu,Alpha,4,4
d,Alpha,5,1
eunice,Alpha,5,1
fantastic,Alpha,5,1
free,Alpha,5,1
friendly,Alpha,2,1
friendly,Alpha,5,1
gao,Alpha,3,1
genie,Alpha,4,1
gi,Alpha,5,1
hailer,Alpha,5,1
heidi,Alpha,5,2
hotel,Alpha,4,1
hotel,Alpha,5,1
in,Alpha,5,2
just,Alpha,4,1
kids,Alpha,2,1
km,Alpha,5,2
l,Alpha,5,1
led,Alpha,5,1
level,Alpha,5,1
m,Alpha,4,3
m,Alpha,5,1
not,Alpha,4,1
ok,Alpha,4,2
on,Alpha,5,1
over,Alpha,1,1
play,Alpha,4,1
pool,Alpha,4,2
pub,Alpha,5,1
rachel,Alpha,4,1
rated,Alpha,1,1
read,Alpha,4,1
renovation,Alpha,5,1
rise,Alpha,5,1
road,Alpha,5,1
room,Alpha,5,2
side,Alpha,4,2
siri,Alpha,4,1
sky,Alpha,4,1
sns,Alpha,1,1
socar,Alpha,5,1
staffs,Alpha,5,1
station,Alpha,4,1
stay,Alpha,5,1
suv,Alpha,3,1
suv,Alpha,5,2
the,Alpha,4,1
tip,Alpha,4,1
traik,Alpha,5,1
tv,Alpha,4,2
tv,Alpha,5,1
twin,Alpha,4,1
up,Alpha,5,1
upgrade,Alpha,5,1
usb,Alpha,1,1
usb,Alpha,4,1
usb,Alpha,5,1
view,Alpha,4,1
view,Alpha,5,2
vp,Alpha,3,1
vr,Alpha,5,1
we,Alpha,2,1
we,Alpha,4,1
we,Alpha,5,2
with,Alpha,4,1
x,Alpha,5,1
y,Alpha,5,1
ya,Alpha,4,1
~,Punctuation,1,2
~,Punctuation,2,4
~,Punctuation,3,8
~,Punctuation,4,67
~,Punctuation,5,361
~!,Punctuation,4,1
~!,Punctuation,5,32
~!!,Punctuation,5,13
~!!!,Punctuation,5,1
~!!!!,Punctuation,5,1
~!),Punctuation,5,1
~!^^,Punctuation,5,1
~),Punctuation,4,1
~),Punctuation,5,1
~.,Punctuation,5,4
~.^^,Punctuation,5,1
~^,Punctuation,4,1
~^^,Punctuation,4,5
~^^,Punctuation,5,43
~~,Punctuation,4,18
~~,Punctuation,5,98
~~!,Punctuation,5,3
~~!!,Punctuation,4,1
~~!!,Punctuation,5,1
~~!!!,Punctuation,5,2
~~...,Punctuation,4,1
~~^^,Punctuation,4,2
~~^^,Punctuation,5,13
~~^^.,Punctuation,5,1
~~~,Punctuation,4,6
~~~,Punctuation,5,21
~~~^^,Punctuation,4,1
~~~^^,Punctuation,5,3
~~~~,Punctuation,4,1
~~~~,Punctuation,5,5
‘,Foreign,1,1
‘,Foreign,2,2
‘,Foreign,4,2
‘,Foreign,5,1
’,Punctuation,1,1
’,Punctuation,2,2
’,Punctuation,4,2
’,Punctuation,5,1
“,Foreign,1,1
”,Foreign,1,1
”,Foreign,5,11
※,Foreign,1,1
★,Foreign,5,1
♡,Foreign,5,13
♡♡,Foreign,4,3
♡♡,Foreign,5,2
♥,Foreign,5,4
。,Foreign,5,2
ㄱㄱㄱ,KoreanParticle,5,1
ㄷㄷㄷ,KoreanParticle,5,1
ㅅ,KoreanParticle,5,1
ㅇㅇㅋ,KoreanParticle,3,1
ㅇㅣ,KoreanParticle,5,1
ㅈ,KoreanParticle,5,1
ㅊ,KoreanParticle,2,1
ㅋ,KoreanParticle,1,1
ㅋ,KoreanParticle,3,1
ㅋ,KoreanParticle,4,2
ㅋ,KoreanParticle,5,11
ㅋㅋ,KoreanParticle,4,3
ㅋㅋ,KoreanParticle,5,36
ㅋㅋㅋ,KoreanParticle,4,2
ㅋㅋㅋ,KoreanParticle,5,7
ㅋㅋㅋㅋ,KoreanParticle,1,1
ㅋㅋㅋㅋ,KoreanParticle,4,1
ㅋㅋㅋㅋ,KoreanParticle,5,3
ㅋㅋㅋㅋㄱㅋ,KoreanParticle,5,1
ㅎ,KoreanParticle,1,1
ㅎ,KoreanParticle,2,1
ㅎ,KoreanParticle,4,11
ㅎ,KoreanParticle,5,37
ㅎㅎ,KoreanParticle,3,1
ㅎㅎ,KoreanParticle,4,8
ㅎㅎ,KoreanParticle,5,71
ㅎㅎㅎ,KoreanParticle,1,1
ㅎㅎㅎ,KoreanParticle,4,4
ㅎㅎㅎ,KoreanParticle,5,9
ㅎㅎㅎㅎ,KoreanParticle,5,3
ㅎㅎㅎㅎㅎㅎㅎ,KoreanParticle,5,1
ㅜ,KoreanParticle,4,5
ㅜ,KoreanParticle,5,6
ㅜㅜ,KoreanParticle,1,1
ㅜㅜ,KoreanParticle,2,1
ㅜㅜ,KoreanParticle,4,8
ㅜㅜ,KoreanParticle,5,9
ㅜㅜㅠㅜㅜㅜㅜ,KoreanParticle,5,1
ㅜㅠ,KoreanParticle,5,1
ㅠ,KoreanParticle,1,4
ㅠ,KoreanParticle,2,1
ㅠ,KoreanParticle,3,5
ㅠ,KoreanParticle,4,8
ㅠ,KoreanParticle,5,15
ㅠㅜ,KoreanParticle,5,1
ㅠㅠ,KoreanParticle,2,2
ㅠㅠ,KoreanParticle,3,1
ㅠㅠ,KoreanParticle,4,15
ㅠㅠ,KoreanParticle,5,30
ㅠㅠㅋㅋ,KoreanParticle,4,1
ㅠㅠㅠ,KoreanParticle,2,1
ㅠㅠㅠ,KoreanParticle,4,1
ㅠㅠㅠ,KoreanParticle,5,3
ㅠㅠㅠㅠ,KoreanParticle,5,2
ㅠㅠㅠㅠㅠ,KoreanParticle,5,1
ㅡ,KoreanParticle,2,1
ㅡ,KoreanParticle,4,1
ㅡ,KoreanParticle,5,3
ㅡㅅㅡ,KoreanParticle,5,1
ㅡㅡ,KoreanParticle,1,1
ㅡㅡ,KoreanParticle,2,1
ㅡㅡ,KoreanParticle,5,1
ㆍ,Foreign,4,4
ㆍ,Foreign,5,7
가,Foreign,1,1
가,Josa,1,163
가,Josa,2,84
가,Josa,3,190
가,Josa,4,383
가,Josa,5,926
가,Josa,8,2
가,Verb,1,1
가,Verb,3,1
가,Verb,4,8
가,Verb,5,10
가거나,Verb,2,1
가게,Noun,3,1
가게,Noun,4,4
가게,Noun,5,12
가게,Verb,4,1
가게되,Verb,5,1
가겠습니다,Verb,5,2
가겠어요,Verb,4,1
가격,Noun,1,20
가격,Noun,2,10
가격,Noun,3,32
가격,Noun,4,73
가격,Noun,5,159
가격,Noun,8,1
가고,Verb,1,5
가고,Verb,4,4
가고,Verb,5,33
가고싶네요,Verb,4,1
가고싶네요,Verb,5,4
가고싶습니다,Verb,5,1
가고싶어,Verb,1,1
가고싶어요,Verb,5,2
가고싶어져요,Verb,5,1
가고싶은,Verb,4,2
가고싶은,Verb,5,2
가고싶지,Verb,1,1
가고싶지,Verb,2,3
가고싶진,Verb,2,1
가구,Noun,1,2
가구,Noun,3,1
가구,Noun,4,5
가급적,Adverb,5,1
가기,Noun,1,1
가기,Noun,2,3
가기,Noun,3,1
가기,Noun,4,16
가기,Noun,5,21
가기전에,Verb,1,1
가기전에,Verb,5,1
가기전에는,Verb,5,1
가길,Verb,5,1
가까,Adjective,5,1
가까우니,Adjective,5,1
가까우며,Adjective,5,1
가까운,Adjective,2,2
가까운,Adjective,3,1
가까운,Adjective,4,8
가까운,Adjective,5,30
가까운건,Adjective,4,1
가까운것도,Adjective,5,1
가까운데,Adjective,5,1
가까울만큼,Adjective,5,1
가까워,Adjective,3,1
가까워,Adjective,4,3
가까워,Adjective,5,5
가까워서,Adjective,1,1
가까워서,Adjective,3,1
가까워서,Adjective,4,23
가까워서,Adjective,5,38
가까워요,Adjective,4,3
가까워요,Adjective,5,3
가까웠다,Adjective,3,1
가까웠어요,Adjective,5,1
가까웠지만,Adjective,1,1
가까이,Noun,2,1
가까이,Noun,3,1
가까이,Noun,4,7
가까이,Noun,5,9
가깝,Adjective,5,1
가깝게,Adjective,5,2
가깝고,Adjective,3,4
가깝고,Adjective,4,15
가깝고,Adjective,5,46
가깝고요,Adjective,5,1
가깝구,Adjective,5,1
가깝구요,Adjective,4,1
가깝구요,Adjective,5,2
가깝다,Adjective,1,1
가깝다,Adjective,5,2
가깝습니다,Adjective,3,1
가깝습니다,Adjective,4,3
가깝습니다,Adjective,5,3
가깝지,Adjective,4,1
가깝지만,Adjective,5,1
가꾸어진,Verb,4,1
가꿔져서,Verb,5,1
가끔,Noun,1,1
가끔,Noun,2,1
가끔,Noun,4,5
가끔,Noun,5,5
가나,Noun,5,1
가냐고,Verb,1,1
가네요,Verb,4,1
가네요,Verb,5,7
가느,Verb,5,1
가는,Verb,1,1
가는,Verb,2,3
가는,Verb,3,4
가는,Verb,4,4
가는,Verb,5,25
가는거,Verb,5,3
가는거는,Verb,4,1
가는게,Verb,5,1
가는데,Verb,4,1
가는데,Verb,5,1
가는데마다,Verb,5,1
가는데요,Verb,5,1
가는줄,Verb,5,2
가는지,Verb,1,1
가는하기,Verb,5,1
가능,Noun,1,2
가능,Noun,2,4
가능,Noun,3,2
가능,Noun,4,3
가능,Noun,5,7
가능성,Noun,5,1
가능하고,Adjective,2,1
가능하고,Adjective,3,1
가능하고,Adjective,5,8
가능하기에,Adjective,5,1
가능하냐고,Adjective,5,1
가능하니,Adjective,1,1
가능하니,Adjective,4,1
가능하다,Adjective,5,1
가능하다고,Adjective,1,1
가능하다고,Adjective,2,1
가능하다고,Adjective,3,1
가능하다고,Adjective,5,2
가능하다는,Adjective,1,1
가능하다는,Adjective,4,1
가능하다는,Adjective,5,1
가능하며,Adjective,5,2
가능하십니다,Adjective,4,1
가능하여,Adjective,4,1
가능하지만,Adjective,5,1
가능한,Adjective,1,1
가능한,Adjective,3,1
가능한,Adjective,4,9
가능한,Adjective,5,12
가능한게,Adjective,5,1
가능한데요,Adjective,1,1
가능한듯,Adjective,4,1
가능한지,Adjective,5,1
가능한지를,Adjective,1,1
가능할텐데도,Adjective,4,1
가능함,Adjective,5,2
가능함을,Adjective,5,1
가능합니다,Adjective,3,2
가능합니다,Adjective,4,2
가능합니다,Adjective,5,6
가능해,Adjective,4,1
가능해서,Adjective,4,3
가능해서,Adjective,5,11
가능해서인데,Adjective,5,1
가능해요,Adjective,4,1
가능해요,Adjective,5,2
가능했고,Adjective,4,1
가능했고,Adjective,5,1
가능했고요,Adjective,5,1
가능했구요,Adjective,5,1
가능했던,Adjective,5,1
가능했습니다,Adjective,4,2
가능했습니다,Adjective,5,4
가능했어요,Adjective,5,3
가능했으며,Adjective,5,1
가니,Verb,1,1
가니,Verb,5,4
가니까,Verb,1,1
가다가,Noun,5,1
가더라도,Verb,4,1
가던,Verb,5,1
가던지,Verb,5,1
가도,Noun,2,2
가도,Noun,3,1
가도,Noun,5,6
가도,Verb,4,2
가동,Noun,1,5
가드,Noun,1,2
가드,Noun,2,2
가드,Noun,3,1
가드,Noun,4,3
가드,Noun,5,24
가드,Noun,8,1
가득,Noun,1,2
가득,Noun,2,1
가득,Noun,3,1
가득,Noun,5,2
가득가득,Adverb,5,1
가득하고,Adjective,1,1
가득하네요,Adjective,5,1
가득하더군요,Adjective,1,1
가득한,Adjective,2,1
가득한,Adjective,4,3
가득한,Adjective,5,1
가득함,Adjective,1,1
가득합니다,Adjective,5,1
가득해서,Adjective,5,1
가든,Noun,1,1
가든,Noun,4,2
가든,Noun,5,9
가라,Noun,4,1
가라,Noun,5,1
가량,Noun,2,1
가량,Noun,4,1
가량,Noun,5,1
가려,Verb,3,2
