no,nickname,text,score,like,time,hotel,grade,stay
10,jjin-ah,"어머니랑 둘이 투숙했는데 너무 좋아요!!호텔 정원 낮에도 밤에도 너무 아름답고 객실컨디션, 직원들 서비스도 최고최고최고",5,0,2019.07,롯데 호텔 제주,5,2019.07
11,이선의,호캉스를 위한 제주여행으로 롯데호텔을 선택했는데 역시 탁월한 선택이었습니다.... 객실에서 사계절 온수풀 해온도 보이고 저녁에는 해온에서 공연도 하고 야경도 너무 예쁘고 즐겁고 행복한 호캉스를 보내고 왔어요~^^,5,0,2019.07,롯데 호텔 제주,5,2019.07
12,youngjookim,"수영장이 너무 잘되어 있다는 말에 처음으로 롯데호텔 제주에 묵었는데 아주 탁월한 선택 이었어요. 호텔 입구, 프론트 직원분들의 친절한 응대에 첫 인상이 너무 좋았고, 주 목적인 야외 수영장도 관리가 잘 되어있어 워터파크 못지않은 시설에 아이와 시간가는 줄 모르고 즐겁게 보냈답니다. 특히나 밤에 조명과 라이브 가수들의 노래는 정말 분위기 최고!! 조식도 너무 맛있었어요. 아이가 있는 가족들이 열광하는 이유를 체감한 하루였어요. 재방문 의사 100%에요",5,0,2019.07,롯데 호텔 제주,5,2019.07
13,kjbbank@naver.com,"호텔 도착입구 직원들부터 친절하고 수영장 시설이 매우 잘 관리되고 쾌적한 횐경에서 즐거운 시간을 보냈다. 특히 조식 , 석식부페 음식 및 수영장에서 즐거운 시간을 보내는 딸내미땜시 꼭재방문해야할것같은...",5,0,2019.07,롯데 호텔 제주,5,2019.07
14,happypizza,매번 제주도 갈때마다 팬션이나 리조트에서만 보냈는데 진작 롯데호텔을 이용하지 못한게 한이 될정도예요. 체크인할때 응대도 너무 친절하셔서 첫인상 부터 좋았습니다. 룸 디자인이 좀 올드 하긴 했지만 오히려 다른 곳보다 침대 매트도 너무 편안하고 침구도 깨끗했어요... 정말 오랫만에 숙면 했어요. 1박 예약하기엔 아쉽다 해서 2박 3일을 보냈는데 전 그것도 아쉬웠어요. 조식도 맛있었고 신라호텔쪽으로 연결된 산책로를 천천히 걷는것도 좋았습니다. 수영장에서 밤에 듣는 라이브 음악도 좋았고 객실에서 바라본 야외 수영장과 풍차라운지는 진정한 야경 맛집이네요... 재방문 의사 100% 입니다.,5,6,2019.07,롯데 호텔 제주,5,2019.07
15,나영쓰,주말동안 짧은 휴가를 편안하게 보내고 싶어서 롯데호텔을 선택했어요. 정말 좋은 선택이었다고 생각했어요~ 문앞에서부터 직원들의 친절함에 기분이 좋았고 체크인을 하고 호텔내에서 거의 모든 것을 해결할 수 있어서 편안하고 좋았습니다 ! 일요일 오후엔 더 캔버스 디너 뷔페를 이용했는데 코로나19로 인해 음식을 고를 땐 마스크를 꼭 착용하게 하는 점이 저를 안심시켜 주기도 했구요~ 수영장도 밤 11시까지 이용할 수 있어서 수영도 원없이 했네요~ 친구들과 8월에 한번 더 투숙하려고 합니다^^ 너무 좋아서요,5,0,2019.07,롯데 호텔 제주,5,2019.07
16,seongkook,비가 많이 내려서인지 호텔 현관앞이 차량들로 매우 혼잡하고 어수선했습니다. 직원들도 매우 바빠보였습니다. 그럼에도 저희차가 도착했을때 웃으며 맞아주는 직원이 고맙게 느껴졌습니다. 그리고 체크인시 무료로 발렛도 해주어 편리했습니다. 객실과 화장실 모두 깨끗했고 청소도 깔끔하게 해주셔서 좋았습니다~. 좋은 추억 만들어주셔서 감사합니다,5,0,2019.06,롯데 호텔 제주,5,2019.06
17,제길짱,직원도친절하고 시설도 너무 좋아요. 체크인할때 자세히 알려쥐 기분이 좋았고 시설 또한 깨끗해서 이용하기 좋았어요!! 기회가 되면 꼭 가보세요,5,0,2019.06,롯데 호텔 제주,5,2020.05
18,연동이,직원분들 너무 친절해요^^ 객실도 너무 깨끗하고 관리가 잘하셨네요. 1박밖에 못보냈지만 다음번엔 좀더 오래 머물고 싶어요~! (롯데호텔 직원분들 더운데 고생이 많으셔요. 힘내세요~!),5,0,2019.06,롯데 호텔 제주,5,2020.05
19,Sun choi,비오는 날에 관광지 방문할 곳이 없었는데 아이들과 수영장 이용하니 너무 좋네요~^^아이들과 투숙하기고 부대시설 이용하기 편합니다,5,0,2019.06,롯데 호텔 제주,5,2020.06
20,do hyun lee,"출장 업무 중 방문했던 호텔이기에 업무를 마무리할 수 있는 쾌적함과 편안한 장소가 필요하였고 롯데호텔은 그 모든 것을 충족시켜주었습니다. 호텔에 들어서고 환하게 웃으며 체크인 진행해주신 Anna Kim 직원분에게 감사드리며, 가지런히 정돈되어 있는 침구류와 청결한 룸내부 그리고 모든 직원분들의 친절한 응대로 하여금 머무르는 동안 최고의 서비스를 경험한 듯 합니다. 업무 스케쥴상 호텔 내부와 관광지들을 둘러볼 기회가 없어 아쉬웠지만 다음 번에는 꼭 재방문하여 제주도의 아름다움과 롯데호텔의 여행객으로써의 편안함을 경험해보고 싶습니다.",5,0,2019.06,롯데 호텔 제주,5,2020.04
21,임민지,요즘 코로나 때문에 어딜가든 불안해서 마스크는 기본이고 가방에 휴대용으로 꼭 챙겨 다니는데 이번에 가니 입구에서 직원분이 열체크 다 해주시고 호텔 내부 가는곳 마다 손소독제 배치되어있어서 너무 안심되었습니다. 물론 역시 롯데호텔이라 그런지 직원분들의 친절또한 빼먹을수는 없더라구요^^ 처음으로 온 여행이였는데 잘 쉬고 잘 놀다 가는거 같아서 너무 좋았습니다~ 친구들도 다들 만족해서 너무 다행인거같아요 ^^,5,0,2019.06,롯데 호텔 제주,5,2020.05
22,Lee da hye,제주도에 도착한 후 첫 일정으로 체크인을 하러 갔고 프런트 직원의 기분좋은 응대와 서비스가 제 여행 행복의 시작점이었습니다. 청결한 침구와 방 안의 상태가 늘 청소하고 방역을 하는 것 같아 안심하고 머물 수 있었고 직원들의 친절한 서비스에 맘 편 쉬다 돌아왔습니다! 누군가 제주도에 간다고 한면 꼭 롯데호텔을 추천하고 싶을만큼 머무르는 내내 기분좋은 서비스 경험하고 왔습니다. 재방문 의사 매우 높음.,5,0,2019.06,롯데 호텔 제주,5,2020.06
23,고재현,사실 이번여행의 시작은 최악이였어요 날씨 분위기 다 안 좋았는데 롯데호텔에 들어서자마자 프론트에서 반갑고친절하게 맞아주시니 그간 안좋던 기분이 싹 씻겨내려갔습니다 저는 그 순간을 잊을수 없을 거 같아 다시 또 방문하겠습니다,5,0,2019.06,롯데 호텔 제주,5,2020.06
24,채보람,온돌객실 이용했었는데 저층이긴 하지만 야외로 나가기가 편해서 좋았습니다. 야외수영장을 많이 이용해서 이동하기에 좋았어요. 그리고 바닥에서 애도 재울수있고 카펫바닥이 아니라 슬리퍼 안신어도 되서 좋았어요. 애들있는가족들은 온돌객실 선호하는 이유를 알겠더라구요. 다음방문에도 온돌객실사용하고싶네요.,5,0,2019.06,롯데 호텔 제주,5,2020.06
25,polapo,체크인할때부터 친절하게 맞아주셔서 환영받는느낌이었어요. 아기용품도 먼저 미리 챙겨주시고 용품도 금방 객실로 올라와서 좋았어요. 유모차 대여도되고 대여되는 아기용품 종류도 많더라고요. 아이가 있는 가족들이 투숙하기에 좋은 것 같아요. 덕분에 편하게 내 집처럼 쉬다왔습니다.,5,0,2019.06,롯데 호텔 제주,5,2020.04
26,꽁이랑,부모님 모시고 간 여행이었습니다. 휴식 겸 가족여행으로 갔는데 부모님의 만족도가 높으셔서 좋았습니다 . 특히나 호텔 정원이 아침 저녁으로 산책하기에 좋았습니다. 조경이 멋지게 잘 되어있고 바다도 바로 앞에 있어서 여유를 즐기면서 산책하기에 제격이었어요. 객실도 넓고 음식맛도 좋아서 완벽한 힐링을 하고 왔어요. 새로 오픈한다던 레스토랑도 또 방문해보고 싶네요!,5,1,2019.06,롯데 호텔 제주,5,2020.05
27,아방때,얼마전 친구들과 투숙했습니다. 패밀리타입 이용했는데 침대도넓고 불편함없이 이용했어요. 날씨가 좋아서 전망이 정말 좋았습니다. 직원분들 친절하신거는 익히 들어 알고있었는데 역시나 정말 친절하셨습니다. 조식도 맛이 좋아서 만족스러웠습니다.,5,0,2019.06,롯데 호텔 제주,5,2020.06
28,경태 김,코로나 때문에 다들 마스크쓰면서 일하시느라 불편하실텐데 밝은모습으로 일하는모습이 보기좋았어요. 체크인은 우현이 직원님께서 해주셨는데 구체적으로 설명해주셔서 편하게 이용할수있었어요! 주변맛집도 많이 알려주셔서 여행하는 내내 잘먹었습니다~~ 감사합니다! 화이팅하세요!,5,0,2019.06,롯데 호텔 제주,5,2020.05
29,플러흐,이곳저곳 알아보니 가족들과 머물기 좋은 호텔로 롯데호텔을 많이 추천하셔서 방문해봤는데 역시나 좋더라구요 수영장이 깊지않아서 애들과 같이 놀기에도 좋았구요 직원분들도 다들 친절하셔서 정말 만족스러웠습니다. 완전 추천이에요!,5,0,2020.05,롯데 호텔 제주,5,2020.02
30,cho,"주말에 아이들과 숙박하며 수영장을 이용했습니다. 점심을 카바나에서 먹고 나오면 좋겠다 싶어 10시~13시 시간을 예약하고, 11시30분 쯤 음식을 주문 하려고 전화 하니 12시 부터 주문 가능 하다고 하더라구요. 12시에 주문하고 먹고 나가면 카바나 이용시간 내에 가능 할까 싶었지만 어쩔 수 없이 12시까지 기다렸다 전화를 하니 받지 않더라구요.. 10분정도 계속 시도 했지만 전화를 받지 않아 카바나 이용 시간내에 먹지 못할 것 같아서 바로 나왔습니다. 카페 해온이 통화중인 상황은 아니었는데 말이죠..보통은 아이들이 11시30분 에서 12시 정도에 점심을 먹는편인데 물놀이 까지 해서 많이 허기진 상황이라 더는 시도를 못하고 허겁 지겁 나와서 점심을 해결해야 했습니다. 그 전날 룸서비스 이용 할때는 키즈메뉴인 ‘비프커틀렛’을 주문 하면서 혹시 밥이 같이 나오냐고 물어봤는데 커틀렛만 제공 된다고 해서 공깃밥을 추가 주문 했습니다. 그런데 메뉴에 밥이 같이 나오더라구요.. 공깃밥 몇천원이 아까운건 아니지만 부정확한 정보 때문에 불필요한 지출이 발생한건 실망 스럽습니다. 추가로 풀장의 라이프 가드 분들이 불친절 하다라는 생각이 듭니다. 무언가를 계속 제재하는 입장이라 어느정도는 이해 하지만 기분 나쁠정도의 어투는 쓰지 않아도 충분히 통제 가능하다고 생각되고 가까이 있는 신라호텔만 봐도 비교가 되더라구요",2,10,2020.05,롯데 호텔 제주,5,2020.05
31,An jihye,"어머니와의 제주 여행을 오게되어 좀 더 특별한 여행이 되고자 롯데 호텔을 예약 하게 되었습니다. 바다 뷰, 사우나, 특히나 수영장!!정말 좋아요 호캉스를 원하시는 분들은 더 고민하지 마시고 롯데호텔 예약하시길...정말 좋습니다 두말 필요 없음 게다가 매니저분들 정말 세상 친절함 시설도 너무 좋음 글재주가 없어 이런글 잘 안남기는데 여기는 추천하고 싶을 정도로 뭐하나 빠지는게 없음",5,0,2020.05,롯데 호텔 제주,5,2020.05
32,정영미,아이들도 넘 좋아하구 덩달아 동심으로~~ 직원분들이 넘넘 친절했습니다.. 침대 가드까지 넘 친절히 설치해주셨구요.. 날씨가 흐려 살짝 추웠는데 수영장 물은 따뜻했어요^^,5,0,2020.05,롯데 호텔 제주,5,2020.05
33,임종현,제주롯데호텔에 투숙하는동안 수영장이용도 너무 좋았고 직원들 역시도 친절해서 좋아서 행복한 여행을 보냈습니다 감사해용~~^^,5,0,2020.05,롯데 호텔 제주,5,2020.05
34,BUSANGUY,최근에 친구들끼리 제주 여행을 갔는데 너무 오랜만에 투숙을 했네요~~~ 예전에도 엄청 친절했었는데 이번에도 너무 다들 친절하네요~~ 프론트 직원분이 너무 친절하게 해주셔서 계속 물어보는 질문에도 상냥히 대답 해주셔서 좋았어요~~!,5,0,2020.05,롯데 호텔 제주,5,2020.05
35,jsy_audrey,중문 들어오는길에 비가 와서 어쩌나 했는데 롯데호텔 키티룸 들어와서 행복 지수 상승으로 텐션 업 되어습니다 동생가족과 함께 왔는데 중1딸램도 초등학생 조카들도 난리 났어요 제주에 많은 호텔이 있지만 롯데호텔키티룸은 아이도 좋아 하고 엄마도 최고을 힐링을 주네요,5,0,2020.05,롯데 호텔 제주,5,2020.05
36,Sungmin Lee,코로나로 가족여행을 급히 제주로 변경하게 되었습니다. 그치만 여기오길 너무 잘했다는 생각이 들어요^^ 체크인부터 친절하신 프론트직원분들. 객실은 최근에 레노베이션해서 그런지 엄청 깔끔하고. 오션뷰는 그야말로 여기가 해외인지 착각하게 만들더라구요~ 제일 좋았던건 바로 해온입니다!!! 3박 4일동안 저희가족은 야외수영장에만 있었거든요.수질관리도 잘되어있고 키즈존과 분리되어 수영하기 너무좋았어요!!! 곧 더캔버스?? 올데이 다이닝 레스토랑이 오픈한다는데~ 저흰 올 여름방학도 다시 방문할 생각이예요~ 더욱 맛있어질 조식과 저녁도 기대되네요!! 너무 좋은 추억 보내게 해주셔서 감사하고 여름이 기다려집니다!!,5,0,2020.05,롯데 호텔 제주,5,2020.05
37,얌무 이,"가족들과 조카들 데리고 다녀 왔는데, 조카들이 너무 좋아 하더라고요~ 특히 해온에서 먹는 치킨, 꿀 맛이였어요~~ 직원분들도 너무 친절 하시고 ㅎ 객실 테라스도 너무 좋았어요, 간만에 좋은 공기 금뿍 ~~ 암튼 좋은 가족 여행 추억기 남기고 왔습니다 ~~",5,0,2020.05,롯데 호텔 제주,5,2020.05
38,Victoria,작년에 친구랑 갔었는데 다시 방문하게 된 롯데호텔 제주 입니다. 작년에도 수영장과 사우나 즐길 수 있는게 많았는데 올해도 변함없이 롯데호텔에서 좋은 기운을 얻어갑니다. 이런게 호캉스구나 ㅠㅠ 싶은게 침대도 너무 좋고 객실에서 바라보는 바다는 제주도가 아닌 느낌이었어요! (제주도 바다는 참 예쁘죠) 조식도 너무 맛있었고 또 가고 싶습니다!! 다음엔 진짜 혼자 즐길 수 있는 호캉스 패키지도 있으면 좋겠습니다!!,5,0,2020.04,롯데 호텔 제주,5,2020.04
39,Lee Nunu,롯데호텔의 해온 수영장은 언제나 최고!! 물놀이로 허기진 배를 채우려 주문한 음식들도 진짜 너무 맛있었어요~~ 올레길과 연결된 산책로 또한 장관입니다!! 엄마와 딸과 함께 추억만들기 너무너무 좋았어요~~~~,5,0,2020.04,롯데 호텔 제주,5,2020.04
40,Sohyun Kim,프론트 직원들이 정말 친절해서 좋았고 특히 유은정직원분 너무 친절하셨어요 ㅎㅎ 덕분에 편하게 숙박하다 갑니다! 역시 롯데호텔제주 두번째 방문이지만 항상 만족하고 가네요 :),5,0,2020.04,롯데 호텔 제주,5,2020.04
41,vnflower,이곳은 하와이인가 한국인가.. 내 생애 지금까지 이런 호텔은 없었다 제주도 롯데호텔♡ 공주가 된것같은 너무 이쁜 룸과 환상의 뷰..! 따듯한 물에서의 힐링타임.. 저녁의 멋진 공연과 함께 너무나도 완벽했던 하루.. 정말..진심..최고였습니다^^,5,0,2020.04,롯데 호텔 제주,5,2020.04
42,silverah,아이들이 너무좋아한 롯데 해온 행복한 시간이네요 수영장 물이 아주 따뜻해서 춥지 않아요 따뜻한자쿠지가 세개나 있어 아이들감기걱정 없네요 사우나에서 추울때 쏙들어가 공연까지 감상하니 몸도 마음도 녹아듭니다~^^ 물놀이 시설 가족단위 즐기시기 최고입니다 공연팀 실력과 위트에 행복한 여행이 플러스네요 물놀이 좋아하는 아들들 신났네요 낮은 물부터 깊은곳까지 다양하게 즐길수있어요 미끄럼틀 꿀잼이고요 티비있는 자쿠지 아이들이 쉬며 행복해하네요 온돌룸 뜨끈뜨끈 너무좋아요~^^,5,0,2020.04,롯데 호텔 제주,5,2020.04
43,아임쏘,들어가자마자 열체크해주시며 친절함에 기분좋게 롯데호텔을 들어갔어요^^♡ 체크인하시는 직원분도 친절하셔서 좋았어요 키티 레이디스 룸에서 화사하게 사진도찍고 너도 나도 동심으로 돌아간것같았어요^^ 짐을 풀고 셀카봉들고 롯데호텔 산책길로갔어요 너무나 예쁜 풍차라운지에서 사진찍고 다리있는쪽까지 걸어가서 힐링제대로했어요 서로좋다고 ㅋㅋ 꽃들은 다왜이리이쁘냐고 숙소로들어와서 해온으로 출발♡♡ 저도 호텔수영장 여러곳가봤지만 ㅠ 여기가 진정최고에요 ㅋㅋ물온도도 따뜻하고요 실외수영장 길이도 굉장히넓은편이고 무엇보다 탈의실 샤워실가까워서 백점만점 수영하다가 추우면 따뜻한탕에들어가서 몸녹이구 뒤쪽 사우나로가서 즐기심되요^^♡ 전 무엇보다좋았던건ㅜㅠ음악공연이었어요 1부는 아이들위주 2부는 어른들위주 정말 간만에 기분좋은 하루였어요^^♡ 아직도 마지막곡인 아로하멜로디가 잊혀지지않아요 ㅋㅋ 롯데호텔 해온은 제가보기엔 아이들데리고가기 최고인거같아요 ㅋㅋ담엔 저희아이들과가려구요^^ 아침 조식도 정말좋았어요^^♡ 샐러드에 아이들아침에 먹기좋은 반찬도 많아서 엄마들이 이유식도먹이고 식판에 반찬떠서 먹이시는분 많이봤어요^^♡ 정말 롯데호텔 또가고싶어요ㅜㅜㅠㅜㅜㅜㅜ 계속 생각나요 ㅋㅋ,5,0,2020.04,롯데 호텔 제주,5,2020.04
44,문신길,작년여름에 가족여행으로 갔던 롯데호텔이예요 아이들이랑 물놀이도 너무 좋았구요 저녁에 산책할때 야경도 멋있어요 그리고 더 좋았던건 저녁마다 열리던 작은 음악 공연 최고였어요! 또 가고 싶네요,5,0,2020.04,롯데 호텔 제주,5,2019.08
45,강은영,제주도에 살지만 여름이면 롯데호텔로 가족들이 피서겸 호캉스를 즐기러 갑니다. 야외수영장에 아이들 풀어놓으면 너무 잘 놀아요~ 하루 종일 수영장에서 놀고 밤에는 좋은 음악까지 라이브로 들을 수 있어서 멀리 안가고도 스몰 콘서트 느낌납니다. 요즘엔 가끔 아이들 키즈카페랑 볼링장 이용 하러 들리는 데 이것도 너무 좋네요~~^^,5,0,2020.04,롯데 호텔 제주,5,2019.08
46,행복바이러스,"딸부잣집 자매들이 여름이 되면 모이는 이곳~^^ 여름 방학이면 친정식구들이 모여서 추억만들기 하는곳인데 대식구다이보니 해외로는 못가지만 늘상 만족하는 롯데호텔입니다. 이국적인 호텔 분위기! 물놀이도 너무 재밌었고, 밤이 되면 끝내주는 풍차 야경~ 얼른 코로나 잠잠해지면 가고 싶네요.",5,0,2020.04,롯데 호텔 제주,5,2019.08
47,노성현,이른시간 비행기여서 짐만 맡길생각으로 입실가능하냐고 물었는데 운좋게 바로 들어갔었어요 근데 야외수영장이 겨울이라 그런건지 좀 작은 규모로 운영하던건 좀 많이 아쉬웠네요 아 풀사이드에서 흑돼지자장면 먹었는데 생각보다 맛있었어요 그날 정말 바람 많이불었는데 바람부는거에 비해서 창문많이 안 흔들려서 딥슬립했어요~방은 깔끔했구요 비염있어서 이불이나 카펫먼지에 예민한편인데 괜찮았어요 부모님이 좋아하셔서 다시 갈 의향있습니다. 아 부대시설많았는데 체크아웃 시간이 일러서 아쉬웠네요,5,0,2020.04,롯데 호텔 제주,5,2020.01
48,겸둥아빠,"구름이 많아도, 날씨가 흐려도 끝내주던 그 때 그전망 기록해둘겸 늦었지만 추억사진 올려봅니다. 어린아들이 있었지만, 안전가드를 준비해준다는 것을 알고 있었기에, 재빨리 사전에예약해 수량은 확보하면 되므로, 고민없이 카펫 깔린 객실을 선택했었구요~ 전망으로 눈호강했고 온수풀서 수영하며 아들 좋아하는 모습에, 물놀이로 피곤했는지 일찍 잠들어준 아들 덕분에 더더욱 잊지 못 할 그날의 기억~ 담에 갈땐 아들 일찍 재우고 룸서비스 시켜 남편과 와인한잔 해야겠어요 눈마주칠때마다 환하게 웃어주던 직원분들덕분에 정말 기분도 좋았고, 대접받는 기분이랄까~ 올해도 꼭 갈게요 롯데호텔~고맙습니당^^",5,1,2020.04,롯데 호텔 제주,5,2019.09
49,Yihanpapa,좀 지난 후기지만 어린아들데리고 간 첫 제주도 여행이었는데 숙소선택 너무잘했다고 생각했어요! 추운날씨였는데 호텔문앞 직원들도 잘맞아주시고 프런트에서 체크인해준 여직원분도 꼼꼼한설명 너무 감사했어요 무엇보다 방안이 아늑한분위기에 청소가 잘된거같아서 카펫트에 아이가 노는데도 괜찮았어요 청결한게 아이데리고다니는 가족에게는 많이 중요한점으로 여겨지자나요 부대시설까지 다양해서 좋았네요 체크아웃시간이 이른게 아쉬울따름이었습니다 아기있는 여행객들에게 추천해요!,5,2,2020.04,롯데 호텔 제주,5,2019.12
50,dlqhals94,친구랑 함께간 여행이었는데 직원분들 친절하게 체크인 해주시고 방은 넓고 쾌적하고 뷰도 너무 좋았답니다. 밖을 바라보는 것만으로 힐링이 되더라고요. 그리고 호텔 안에 여러가지 부대시설이 있어서 멀리 나가지 않아도 정말 재밌게 놀았답니다.친구랑 게임도 하고 볼링도 치고 룸서비스 시켜 먹고 정말 좋은 시간 보내고 왔습니다. 벌써 또 가고 싶네요~~!!!,5,0,2020.03,롯데 호텔 제주,5,2020.02
